type,symbol,open,high,low,close,value,dayChange,dayChangePerc,tsInMillis,Time
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43560.5,-36.349999999998545,-0.08337758347219706,1670574461,13:56:10.411841
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43558.5,-38.349999999998545,-0.08796507087094262,1670574462,13:56:11.521145
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43557.3,-39.549999999995634,-0.09071756331018327,1670574463,13:56:14.677056
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43555.95,-40.900000000001455,-0.09381411730434987,1670574466,13:56:16.866491
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43561.35,-35.5,-0.08142790132773355,1670574468,13:56:18.235313
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43556.75,-40.099999999998545,-0.09197912234484497,1670574470,13:56:20.408647
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43561.6,-35.25,-0.08085446540289035,1670574472,13:56:21.533530
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43554.85,-42,-0.09633723537365659,1670574473,13:56:22.640904
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43556.3,-40.549999999995634,-0.09301130700955605,1670574474,13:56:23.765744
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43557.3,-39.549999999995634,-0.09071756331018327,1670574475,13:56:25.057137
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43552.55,-44.299999999995634,-0.10161284588220397,1670574940,14:04:10.144327
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43555.8,-41.049999999995634,-0.09415817885924244,1670574942,14:04:11.472315
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43555.85,-41,-0.0940434916742838,1670574943,14:04:12.887292
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43557.1,-39.75,-0.09117631205006785,1670574944,14:04:14.168537
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43551.6,-45.25,-0.1037919023966181,1670574946,14:04:15.574655
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43555,-41.849999999998545,-0.09599317381874733,1670574947,14:04:16.957175
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43554.75,-42.099999999998545,-0.09656660974359052,1670574948,14:04:18.082237
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43553.6,-43.25,-0.09920441499787255,1670574949,14:04:19.187506
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43556.2,-40.650000000001455,-0.09324068137950668,1670574950,14:04:20.303093
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43557.7,-39.150000000001455,-0.08980006583044751,1670574952,14:04:21.474966
